Assembly	scaffolds_LengthFilter_50
# contigs (>= 0 bp)	288
# contigs (>= 1000 bp)	124
# contigs (>= 5000 bp)	94
# contigs (>= 10000 bp)	80
# contigs (>= 25000 bp)	54
# contigs (>= 50000 bp)	32
Total length (>= 0 bp)	4370507
Total length (>= 1000 bp)	4303410
Total length (>= 5000 bp)	4230214
Total length (>= 10000 bp)	4136967
Total length (>= 25000 bp)	3694370
Total length (>= 50000 bp)	2909673
# contigs	148
Largest contig	209097
Total length	4321006
GC (%)	65.41
N50	65136
N90	17421
auN	83985.7
L50	19
L90	64
# N's per 100 kbp	6.94
